,Unnamed: 0,Article,Sentence,Sentence Position,Sentence Length,Numeric Data,Thematic Words,Entropy,POS tags,TF-ISF,Aggregate Score,Busy Path,Title,Label
1063,1063,A66,S7,0.0,0.85,0.0,0.57,0.75,0.63,0.57,0.97,0.62,0.2,0.908
1064,1064,A66,S8,0.14,0.53,0.5,1.0,1.0,1.0,1.0,0.83,0.77,0.5,0.911
1065,1065,A66,S9,0.29,0.82,0.5,0.3,0.36,0.32,0.3,0.96,0.69,0.2,0.885
1066,1066,A66,S10,0.43,0.62,0.5,0.07,0.15,0.1,0.15,0.81,0.85,0.0,0.807
1067,1067,A66,S11,0.57,0.93,0.0,0.57,0.61,0.78,0.64,0.89,0.62,0.1,0.915
1068,1068,A66,S12,0.71,0.82,0.5,0.37,0.43,0.32,0.3,0.95,0.62,0.1,0.884
1069,1069,A66,S13,0.86,0.82,0.0,0.33,0.44,0.33,0.28,0.95,0.69,0.1,0.895
1070,1070,A66,S14,1.0,0.93,0.0,0.47,0.54,0.44,0.35,1.0,0.54,0.2,0.891
1071,1071,A67,S1,0.67,0.97,0.0,0.7,0.71,0.71,0.59,0.96,0.5,1.0,0.975
1072,1072,A67,S2,0.33,0.82,0.0,0.6,0.59,0.43,0.45,1.0,0.5,0.4,0.878
1073,1073,A67,S3,0.0,0.7,1.0,1.0,1.0,1.0,1.0,0.96,0.75,0.8,0.876
1074,1074,A67,S4,0.33,0.7,0.5,0.45,0.37,0.37,0.33,0.89,1.0,0.6,0.845
1075,1075,A67,S5,0.67,0.97,0.5,0.85,0.74,0.59,0.66,0.97,0.75,0.8,0.873
1076,1076,A67,S6,1.0,0.79,0.0,0.6,0.51,0.43,0.63,0.94,1.0,0.4,0.854
1077,1077,A68,S1,0.6,0.6,0.0,1.0,1.0,1.0,1.0,0.94,0.5,1.0,0.978
1078,1078,A68,S2,0.2,0.82,0.0,0.95,0.8,0.73,0.63,1.0,0.25,0.29,0.922
1079,1079,A68,S3,0.2,0.85,1.0,0.81,0.71,0.54,0.64,0.99,0.25,0.29,0.9
1080,1080,A68,S4,0.6,0.85,0.0,0.52,0.42,0.27,0.4,0.99,0.5,0.0,0.862
1081,1081,A68,S5,1.0,0.6,0.5,0.24,0.19,0.12,0.15,0.77,1.0,0.29,0.839
1082,1082,A69,S1,0.9,0.88,0.0,0.94,0.88,0.5,0.39,0.89,0.53,1.0,1.0
1083,1083,A69,S2,0.8,0.91,0.0,0.58,0.59,0.39,0.32,0.94,0.53,0.89,0.905
1084,1084,A69,S3,0.7,0.81,0.0,1.0,0.97,0.57,0.47,0.89,0.63,1.0,0.978
1085,1085,A69,S4,0.6,0.56,0.0,0.94,0.99,1.0,1.0,0.8,0.74,0.33,0.912
1086,1086,A69,S5,0.5,0.91,0.0,0.42,0.43,0.36,0.39,0.96,0.47,0.22,0.897
1087,1087,A69,S6,0.4,0.86,0.0,0.87,0.9,0.46,0.84,0.87,0.53,0.22,0.89
1088,1088,A69,S7,0.3,0.98,0.0,0.52,0.58,0.34,0.43,0.97,0.26,0.11,0.892
1089,1089,A69,S8,0.2,0.86,1.0,0.68,0.78,0.49,0.5,0.86,0.47,0.89,0.923
